pressure [MPa], density [g/ml], viscosity [muPa*s], enthalpy [kJ/kg]
.005, 1.35424798e-05, 2.96547527e-05, 3.54719464e+03
.015, 4.06301266e-05, 2.96549917e-05, 3.54709676e+03
.025, 6.77213598e-05, 2.96552311e-05, 3.54699886e+03
.035, 9.48161756e-05, 2.96554709e-05, 3.54690095e+03
.045, 1.21914583e-04, 2.96557111e-05, 3.54680303e+03
.055, 1.49016568e-04, 2.96559517e-05, 3.54670511e+03
.065, 1.76122141e-04, 2.96561926e-05, 3.54660717e+03
.075, 2.03231325e-04, 2.96564339e-05, 3.54650923e+03
.085, 2.30344080e-04, 2.96566756e-05, 3.54641127e+03
.095, 2.57460427e-04, 2.96569177e-05, 3.54631331e+03
.105, 2.84580368e-04, 2.96571602e-05, 3.54621533e+03
.115, 3.11703924e-04, 2.96574030e-05, 3.54611735e+03
.125, 3.38831056e-04, 2.96576463e-05, 3.54601935e+03
.135, 3.65961805e-04, 2.96578899e-05, 3.54592135e+03
.145, 3.93096113e-04, 2.96581339e-05, 3.54582333e+03
.155, 4.20234061e-04, 2.96583782e-05, 3.54572531e+03
.165, 4.47375610e-04, 2.96586230e-05, 3.54562728e+03
.175, 4.74520720e-04, 2.96588681e-05, 3.54552924e+03
.185, 5.01669475e-04, 2.96591137e-05, 3.54543118e+03
.195, 5.28821794e-04, 2.96593596e-05, 3.54533312e+03
.205, 5.55977759e-04, 2.96596059e-05, 3.54523505e+03
.215, 5.83137332e-04, 2.96598525e-05, 3.54513697e+03
.225, 6.10300472e-04, 2.96600996e-05, 3.54503888e+03
.235, 6.37467262e-04, 2.96603470e-05, 3.54494078e+03
.245, 6.64637663e-04, 2.96605949e-05, 3.54484267e+03
.255, 6.91811636e-04, 2.96608431e-05, 3.54474455e+03
.265, 7.18989222e-04, 2.96610916e-05, 3.54464642e+03
.275, 7.46170504e-04, 2.96613406e-05, 3.54454827e+03
.285, 7.73355320e-04, 2.96615900e-05, 3.54445013e+03
.295, 8.00543753e-04, 2.96618397e-05, 3.54435197e+03
.305, 8.27735886e-04, 2.96620898e-05, 3.54425380e+03
.315, 8.54931557e-04, 2.96623403e-05, 3.54415562e+03
.325, 8.82130849e-04, 2.96625912e-05, 3.54405743e+03
.335, 9.09333844e-04, 2.96628425e-05, 3.54395923e+03
.345, 9.36540381e-04, 2.96630942e-05, 3.54386102e+03
.355, 9.63750542e-04, 2.96633462e-05, 3.54376280e+03
.365, 9.90964410e-04, 2.96635986e-05, 3.54366458e+03
.375, 1.01818182e-03, 2.96638514e-05, 3.54356634e+03
.385, 1.04540287e-03, 2.96641046e-05, 3.54346809e+03
.395, 1.07262762e-03, 2.96643582e-05, 3.54336983e+03
.405, 1.09985592e-03, 2.96646122e-05, 3.54327157e+03
.415, 1.12708785e-03, 2.96648665e-05, 3.54317329e+03
.425, 1.15432350e-03, 2.96651213e-05, 3.54307500e+03
.435, 1.18156270e-03, 2.96653764e-05, 3.54297670e+03
.445, 1.20880554e-03, 2.96656319e-05, 3.54287840e+03
.455, 1.23605209e-03, 2.96658878e-05, 3.54278008e+03
.465, 1.26330221e-03, 2.96661440e-05, 3.54268175e+03
.475, 1.29055596e-03, 2.96664007e-05, 3.54258342e+03
.485, 1.31781343e-03, 2.96666577e-05, 3.54248507e+03
.495, 1.34507446e-03, 2.96669152e-05, 3.54238672e+03
.505, 1.37233914e-03, 2.96671730e-05, 3.54228835e+03
.515, 1.39960746e-03, 2.96674312e-05, 3.54218997e+03
.525, 1.42687943e-03, 2.96676897e-05, 3.54209159e+03
.535, 1.45415520e-03, 2.96679487e-05, 3.54199319e+03
.545, 1.48143446e-03, 2.96682081e-05, 3.54189479e+03
.555, 1.50871737e-03, 2.96684678e-05, 3.54179637e+03
.565, 1.53600394e-03, 2.96687279e-05, 3.54169795e+03
.575, 1.56329415e-03, 2.96689884e-05, 3.54159951e+03
.585, 1.59058801e-03, 2.96692493e-05, 3.54150107e+03
.595, 1.61788570e-03, 2.96695106e-05, 3.54140261e+03
.605, 1.64518687e-03, 2.96697723e-05, 3.54130414e+03
.615, 1.67249171e-03, 2.96700344e-05, 3.54120567e+03
.625, 1.69980020e-03, 2.96702968e-05, 3.54110718e+03
.635, 1.72711235e-03, 2.96705596e-05, 3.54100869e+03
.645, 1.75442816e-03, 2.96708228e-05, 3.54091018e+03
.655, 1.78174763e-03, 2.96710865e-05, 3.54081167e+03
.665, 1.80907093e-03, 2.96713504e-05, 3.54071314e+03
.675, 1.83639773e-03, 2.96716148e-05, 3.54061461e+03
.685, 1.86372819e-03, 2.96718796e-05, 3.54051606e+03
.695, 1.89106233e-03, 2.96721447e-05, 3.54041751e+03
.705, 1.91840013e-03, 2.96724103e-05, 3.54031894e+03
.715, 1.94574160e-03, 2.96726762e-05, 3.54022037e+03
.725, 1.97308690e-03, 2.96729425e-05, 3.54012178e+03
.735, 2.00043571e-03, 2.96732092e-05, 3.54002319e+03
.745, 2.02778820e-03, 2.96734763e-05, 3.53992458e+03
.755, 2.05514436e-03, 2.96737438e-05, 3.53982597e+03
.765, 2.08250420e-03, 2.96740116e-05, 3.53972734e+03
.775, 2.10986771e-03, 2.96742799e-05, 3.53962871e+03
.785, 2.13723506e-03, 2.96745485e-05, 3.53953006e+03
.795, 2.16460594e-03, 2.96748176e-05, 3.53943141e+03
.805, 2.19198049e-03, 2.96750870e-05, 3.53933274e+03
.815, 2.21935872e-03, 2.96753568e-05, 3.53923407e+03
.825, 2.24674064e-03, 2.96756270e-05, 3.53913538e+03
.835, 2.27412624e-03, 2.96758975e-05, 3.53903668e+03
.845, 2.30151569e-03, 2.96761685e-05, 3.53893798e+03
.855, 2.32890867e-03, 2.96764399e-05, 3.53883926e+03
.865, 2.35630533e-03, 2.96767116e-05, 3.53874054e+03
.875, 2.38370568e-03, 2.96769838e-05, 3.53864180e+03
.885, 2.41110973e-03, 2.96772563e-05, 3.53854305e+03
.895, 2.43851746e-03, 2.96775292e-05, 3.53844430e+03
.905, 2.46592889e-03, 2.96778025e-05, 3.53834553e+03
.915, 2.49334418e-03, 2.96780762e-05, 3.53824675e+03
.925, 2.52076300e-03, 2.96783503e-05, 3.53814797e+03
.935, 2.54818552e-03, 2.96786247e-05, 3.53804917e+03
.945, 2.57561174e-03, 2.96788996e-05, 3.53795036e+03
.955, 2.60304166e-03, 2.96791748e-05, 3.53785155e+03
.965, 2.63047527e-03, 2.96794505e-05, 3.53775272e+03
.975, 2.65791276e-03, 2.96797265e-05, 3.53765388e+03
.985, 2.68535378e-03, 2.96800029e-05, 3.53755503e+03
.995, 2.71279851e-03, 2.96802797e-05, 3.53745618e+03
1.005, 2.74024695e-03, 2.96805569e-05, 3.53735731e+03
